"code_id","orderid","itemid","nama_pengguna","produk","review","rating","waktu_transaksi"
"15236415526_1725548968_93099209",178802994239251,15236415526,y*****1,Probolt Mur m8 atau mur drat 12 stainlis HENG thailand,"",5,"2024-09-05 22:09:00"
"15236415526_1725785654_331851102",179286643297738,15236415526,dheny.permana,Probolt Mur m8 atau mur drat 12 stainlis HENG thailand,"",5,"2024-09-08 15:54:00"
"15236415526_1725788575_40154567",179334585210834,15236415526,vhieanggraeni_88,Probolt Mur m8 atau mur drat 12 stainlis HENG thailand,"",5,"2024-09-08 16:42:00"
"15236415526_1725875860_1087403544",179459771279002,15236415526,mz4kky,Probolt Mur m8 atau mur drat 12 stainlis HENG thailand,"",4,"2024-09-09 16:57:00"
"15236415526_1725880482_385482701",179366093206982,15236415526,l8dbgf1so8,Probolt Mur m8 atau mur drat 12 stainlis HENG thailand,"",5,"2024-09-09 18:14:00"
"15936413340_1725446523_301414380",178793532297209,15936413340,sizzkaa,Mur m10 atau mur drat 14 stainlis heng thailand,"",5,"2024-09-04 17:42:00"
"15936413340_1725512655_60097015",175185420238165,15936413340,watchesfreaks,Mur m10 atau mur drat 14 stainlis heng thailand,"",5,"2024-09-05 12:04:00"
"15936413340_1725548968_93099209",178802994239251,15936413340,y*****1,Mur m10 atau mur drat 14 stainlis heng thailand,"",5,"2024-09-05 22:09:00"
"15936413340_1725875860_1087403544",179459771279002,15936413340,mz4kky,Mur m10 atau mur drat 14 stainlis heng thailand,"",4,"2024-09-09 16:57:00"
"16085053996_1725448250_272132134",178281469234093,16085053996,rakanhermidar,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-04 18:10:00"
"16085053996_1725450877_978440397",175234962277583,16085053996,agistajulyamsyahsaleh,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",4,"2024-09-04 18:54:00"
"16085053996_1725453873_434369812",178895655261760,16085053996,rioandestama123,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-04 19:44:00"
"16085053996_1725472710_386335193",178869336253458,16085053996,mogay13540,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-05 00:58:00"
"16085053996_1725516621_414180207",179002848234286,16085053996,kacamata_baca,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-05 13:10:00"
"16085053996_1725528980_308394111",179062696202247,16085053996,ibnumaulana2007,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"Kegunaan:pemanis
Keaslian:ori
Kondisi Pesanan:baik gada tanda karat

cakep dah pokonya bening",5,"2024-09-05 16:36:00"
"16085053996_1725539951_1320019531",177962441243163,16085053996,rkkrf3zhgr,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,Kegunaan:cocok,5,"2024-09-05 19:39:00"
"16085053996_1725598878_1185251766",177780784235826,16085053996,hafidaditama007,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-06 12:01:00"
"16085053996_1725603658_1295574807",178765173232112,16085053996,syahrularul259060,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-06 13:20:00"
"16085053996_1725635482_725975809",179049314206484,16085053996,herusabjasa,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-06 22:11:00"
"16085053996_1725712043_539997164",179126922234087,16085053996,aryz.andriansah,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,kondisi bagus,5,"2024-09-07 19:27:00"
"16085053996_1725716270_23281679",179324897206775,16085053996,syahrulkamal,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-07 20:37:00"
"16085053996_1725760522_1317029632",179054047294996,16085053996,yugqrngc0o,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",4,"2024-09-08 08:55:00"
"16085053996_1725786568_263023636",179227100217626,16085053996,gunadisurya18,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-08 16:09:00"
"16085053996_1725787259_821959986",179152441283491,16085053996,munim321,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-08 16:20:00"
"16085053996_1725789931_1061039069",179236210228979,16085053996,novand1980,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-08 17:05:00"
"16085053996_1725820584_324941962",179272442257734,16085053996,rizki_wijanarko22,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-09 01:36:00"
"16085053996_1725825571_1262993537",177881110271475,16085053996,_istri_jimin,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-09 02:59:00"
"16085053996_1725833406_524291718",179064233259359,16085053996,herawan.angga88,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-09 05:10:00"
"16085053996_1725862033_109682841",178536639289662,16085053996,didinkirana,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-09 13:07:00"
"16085053996_1725878103_259655160",179249857296342,16085053996,hafiz.aulia.rakhman,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"Kegunaan:cocok banget
Keaslian:mantap pokok nya",5,"2024-09-09 17:35:00"
"16085053996_1725880631_577848639",179158366236384,16085053996,t*****2,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-09 18:17:00"
"16085053996_1725897686_264972957",174312052242194,16085053996,fajarsurya91,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-09 23:01:00"
"16085053996_1725919029_341015980",178895184273811,16085053996,c*****a,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-10 04:57:00"
